qc_id,timestamp,batch_id,sku,parameter,value,pass_fail,notes,value 
QC_517439,2025-01-01 05:19:16,BATCH_17813,High Energy Brown,slice_uniformity_mm,4.56,pass,,4.56
QC_509819,2025-03-06 20:45:27,BATCH_15273,Family Loaf,moisture_percent,29.98,fail,Above tolerance range,29.98
QC_517261,2025-03-06 15:16:21,BATCH_17753,Wholegrain Brown,package_seal_strength,114.75,pass,,114.75
QC_502450,2025-05-13 08:03:07,BATCH_12816,Family Loaf,package_seal_strength,77.78,fail,Color inconsistency,77.78
QC_503577,2025-01-07 08:33:59,BATCH_13192,Family Loaf,slice_uniformity_mm,3.39,pass,,3.39
QC_514928,2025-03-29 19:46:13,BATCH_16976,High Energy White,package_seal_strength,114.21,pass,,114.21
QC_510525,2025-02-01 18:26:44,BATCH_15508,High Energy Brown,slice_uniformity_mm,0.95,fail,Seal issue detected,0.95
QC_505865,2025-03-22 02:11:15,BATCH_13955,Wholegrain Brown,moisture_percent,39.49,fail,Color inconsistency,39.49
QC_513665,2025-03-31 23:54:39,BATCH_16555,Family Loaf,moisture_percent,38.13,pass,,38.13
QC_513708,2025-06-12 17:01:11,BATCH_16569,Soft White,texture_score,9.65,pass,,9.65
QC_511990,2025-02-08 06:13:30,BATCH_15996,Seed Loaf,texture_score,10.63,fail,Below expected tolerance,10.63
QC_514499,2025-03-11 05:49:07,BATCH_16833,Family Loaf,moisture_percent,31.26,pass,,31.26
QC_509051,2025-01-04 13:43:37,BATCH_15017,High Energy White,crust_color_level,2.54,pass,,2.54
QC_516612,2025-03-30 00:38:22,BATCH_17537,Whole Wheat,slice_uniformity_mm,2.99,pass,,2.99
QC_513776,2025-04-03 01:47:09,BATCH_16592,Whole Wheat,texture_score,9.3,pass,,9.3
QC_507224,2025-05-04 00:01:21,BATCH_14408,Whole Wheat,moisture_percent,38.61,pass,,38.61
QC_501624,2025-05-16 11:53:58,BATCH_12541,High Energy Brown,internal_temp_c,95.52,pass,,95.52
QC_502677,2025-04-30 23:54:47,BATCH_12892,High Energy White,crust_color_level,3.67,pass,,3.67
QC_504973,2025-01-08 16:34:28,BATCH_13657,Soft White,slice_uniformity_mm,3.26,pass,,3.26
QC_507346,2025-07-29 21:24:29,BATCH_14448,Wholegrain Brown,package_seal_strength,112.5,pass,,112.5
QC_509957,2025-06-02 21:48:12,BATCH_15319,Whole Wheat,weight_grams,698.19,pass,,698.19
QC_501599,2025-04-18 00:32:46,BATCH_12533,Wholegrain Brown,weight_grams,700.02,pass,,700.02
QC_501911,2025-01-22 11:16:11,BATCH_12637,Wholegrain Brown,weight_grams,687.85,pass,,687.85
QC_511386,2025-03-22 00:29:04,BATCH_15795,Soft White,texture_score,3.26,pass,,3.26
QC_505550,2025-03-03 04:51:53,BATCH_13850,Family Loaf,moisture_percent,37.86,pass,,37.86
QC_509717,2025-02-01 12:30:08,BATCH_15239,Whole Wheat,slice_uniformity_mm,-0.23,fail,Color inconsistency,-0.23
QC_504779,2025-02-06 07:52:24,BATCH_13593,Whole Wheat,moisture_percent,40.97,fail,Seal issue detected,40.97
QC_505252,2025-04-13 21:23:02,BATCH_13750,Soft White,slice_uniformity_mm,1.9,fail,Above tolerance range,1.9
QC_516037,2025-01-01 08:16:53,BATCH_17345,Whole Wheat,crust_color_level,2.75,pass,,2.75
QC_501570,2025-03-07 11:53:16,BATCH_12523,Seed Loaf,internal_temp_c,93.78,pass,,93.78
QC_517740,2025-05-22 19:36:24,BATCH_17913,Family Loaf,package_seal_strength,93.39,pass,,93.39
QC_517326,2025-06-21 02:39:44,BATCH_17775,Wholegrain Brown,crust_color_level,3.65,pass,,3.65
QC_515715,2025-01-22 13:07:43,BATCH_17238,Seed Loaf,texture_score,11.19,fail,Seal issue detected,11.19
QC_502958,2025-07-13 07:14:10,BATCH_12986,Whole Wheat,moisture_percent,38.31,pass,,38.31
QC_515361,2025-04-13 22:25:18,BATCH_17120,Family Loaf,moisture_percent,36.16,pass,,36.16
QC_504860,2025-01-15 18:37:27,BATCH_13620,Seed Loaf,weight_grams,706.77,pass,,706.77
QC_501350,2025-07-26 05:04:34,BATCH_12450,Whole Wheat,moisture_percent,36.05,pass,,36.05
QC_504862,2025-01-15 18:37:27,BATCH_13620,Seed Loaf,package_seal_strength,115.74,pass,,115.74
QC_513180,2025-04-08 15:00:58,BATCH_16393,Wholegrain Brown,package_seal_strength,112.96,pass,,112.96
QC_515161,2025-06-18 21:04:17,BATCH_17053,Wholegrain Brown,texture_score,-0.2,fail,Internal temperature deviation,-0.2
QC_503193,2025-07-22 11:26:12,BATCH_13064,Soft White,crust_color_level,1.22,pass,,1.22
QC_506395,2025-04-23 13:58:14,BATCH_14131,Family Loaf,slice_uniformity_mm,0.93,fail,Internal temperature deviation,0.93
QC_513498,2025-04-10 07:28:24,BATCH_16499,Soft White,moisture_percent,38.89,pass,,38.89
QC_509592,2025-03-25 16:53:44,BATCH_15197,Seed Loaf,internal_temp_c,91.58,fail,Color inconsistency,91.58
QC_514349,2025-01-20 00:24:43,BATCH_16783,Family Loaf,weight_grams,699.88,pass,,699.88
QC_501162,2025-05-16 17:18:18,BATCH_12387,High Energy Brown,crust_color_level,-1.46,fail,Above tolerance range,-1.46
QC_508525,2025-04-22 02:42:57,BATCH_14841,Soft White,moisture_percent,32.52,pass,,32.52
QC_505990,2025-07-09 03:34:58,BATCH_13996,High Energy Brown,moisture_percent,34.44,pass,,34.44
QC_505841,2025-01-12 05:47:28,BATCH_13947,Family Loaf,texture_score,7.58,pass,,7.58
QC_501747,2025-02-21 15:50:18,BATCH_12582,Family Loaf,internal_temp_c,98.33,pass,,98.33
QC_517648,2025-05-10 12:18:13,BATCH_17882,High Energy Brown,crust_color_level,3.35,pass,,3.35
QC_505553,2025-02-13 04:59:09,BATCH_13851,Seed Loaf,package_seal_strength,98.03,pass,,98.03
QC_513144,2025-06-28 04:01:15,BATCH_16381,Whole Wheat,package_seal_strength,121.4,fail,Below expected tolerance,121.4
QC_509451,2025-04-15 08:51:37,BATCH_15150,Wholegrain Brown,moisture_percent,32.64,pass,,32.64
QC_511317,2025-03-13 01:33:16,BATCH_15772,Soft White,weight_grams,711.28,pass,,711.28
QC_513676,2025-06-03 06:38:29,BATCH_16558,Wholegrain Brown,internal_temp_c,97.32,pass,,97.32
QC_504638,2025-01-15 20:46:22,BATCH_13546,Family Loaf,texture_score,7.58,pass,,7.58
QC_517296,2025-02-18 17:04:54,BATCH_17765,Whole Wheat,internal_temp_c,98.75,pass,,98.75
QC_515499,2025-04-06 00:25:17,BATCH_17166,High Energy White,crust_color_level,4.67,pass,,4.67
QC_514250,2025-06-10 09:08:21,BATCH_16750,Whole Wheat,crust_color_level,-0.64,fail,Below expected tolerance,-0.64
QC_508085,2025-05-31 04:34:46,BATCH_14695,Seed Loaf,package_seal_strength,79.63,fail,Seal issue detected,79.63
QC_506045,2025-03-05 14:59:51,BATCH_14015,Soft White,texture_score,8.59,pass,,8.59
QC_504205,2025-04-15 03:36:44,BATCH_13401,Seed Loaf,slice_uniformity_mm,5.96,pass,,5.96
QC_508586,2025-06-14 20:54:17,BATCH_14862,Wholegrain Brown,weight_grams,714.45,pass,,714.45
QC_502995,2025-02-18 22:46:55,BATCH_12998,Wholegrain Brown,moisture_percent,38.14,pass,,38.14
QC_511919,2025-03-05 09:54:38,BATCH_15973,Soft White,internal_temp_c,92.27,fail,Above tolerance range,92.27
QC_505836,2025-07-29 19:56:00,BATCH_13945,High Energy White,internal_temp_c,101.21,fail,Above tolerance range,101.21
QC_512053,2025-06-26 02:16:26,BATCH_16017,Soft White,weight_grams,689.66,pass,,689.66
QC_506087,2025-06-19 09:41:59,BATCH_14029,Seed Loaf,crust_color_level,0.12,fail,Seal issue detected,0.12
QC_505933,2025-01-27 20:12:04,BATCH_13977,Soft White,moisture_percent,37.38,pass,,37.38
QC_506824,2025-05-07 01:31:40,BATCH_14274,Wholegrain Brown,texture_score,1.73,pass,,1.73
QC_512786,2025-05-04 05:27:21,BATCH_16262,Family Loaf,texture_score,5.17,pass,,5.17
QC_502836,2025-01-12 04:42:24,BATCH_12945,Family Loaf,texture_score,7.53,pass,,7.53
QC_505140,2025-05-23 05:55:37,BATCH_13713,High Energy White,slice_uniformity_mm,2.3,pass,,2.3
QC_509233,2025-06-22 22:04:44,BATCH_15077,High Energy White,internal_temp_c,95.45,pass,,95.45
QC_502678,2025-04-30 23:54:47,BATCH_12892,High Energy White,texture_score,8.41,pass,,8.41
QC_506422,2025-01-29 23:43:14,BATCH_14140,Family Loaf,internal_temp_c,97.78,pass,,97.78
QC_513677,2025-01-24 07:44:34,BATCH_16559,High Energy White,crust_color_level,5.12,fail,Internal temperature deviation,5.12
QC_511042,2025-01-12 01:20:05,BATCH_15680,Seed Loaf,weight_grams,691.16,pass,,691.16
QC_516046,2025-04-11 06:09:09,BATCH_17348,High Energy White,moisture_percent,32.31,pass,,32.31
QC_513984,2025-05-19 13:15:42,BATCH_16661,Seed Loaf,internal_temp_c,99.5,fail,Above tolerance range,99.5
QC_505414,2025-02-21 16:35:34,BATCH_13804,Seed Loaf,internal_temp_c,96.46,pass,,96.46
QC_517725,2025-02-20 09:34:49,BATCH_17908,Family Loaf,crust_color_level,0.44,fail,Seal issue detected,0.44
QC_508310,2025-07-08 08:04:25,BATCH_14770,Wholegrain Brown,texture_score,2.07,pass,,2.07
QC_507284,2025-07-18 23:36:50,BATCH_14428,Wholegrain Brown,texture_score,8.3,pass,,8.3
QC_508917,2025-06-19 09:02:51,BATCH_14972,Wholegrain Brown,package_seal_strength,116.28,pass,,116.28
QC_509598,2025-04-06 18:22:05,BATCH_15199,Wholegrain Brown,weight_grams,709.28,pass,,709.28
QC_512957,2025-02-10 08:42:59,BATCH_16319,High Energy White,texture_score,5.88,pass,,5.88
QC_512210,2025-04-19 11:24:35,BATCH_16070,Wholegrain Brown,package_seal_strength,91.65,pass,,91.65
QC_516780,2025-01-21 00:50:41,BATCH_17593,Wholegrain Brown,crust_color_level,6.96,fail,Seal issue detected,6.96
QC_511652,2025-04-16 06:06:04,BATCH_15884,Seed Loaf,texture_score,7.78,pass,,7.78
QC_513009,2025-03-10 06:35:31,BATCH_16336,High Energy White,package_seal_strength,99.94,pass,,99.94
QC_507592,2025-05-08 22:18:24,BATCH_14530,Family Loaf,weight_grams,720.55,fail,Below expected tolerance,720.55
QC_507324,2025-06-09 08:10:53,BATCH_14441,Soft White,internal_temp_c,99.56,fail,Below expected tolerance,99.56
QC_505701,2025-01-12 06:19:41,BATCH_13900,Seed Loaf,package_seal_strength,107.59,pass,,107.59
QC_507831,2025-04-07 14:53:42,BATCH_14610,Soft White,moisture_percent,33.94,pass,,33.94
QC_514214,2025-04-11 17:50:25,BATCH_16738,Whole Wheat,package_seal_strength,108.85,pass,,108.85
QC_510639,2025-06-24 19:03:16,BATCH_15546,Whole Wheat,internal_temp_c,91.51,fail,Internal temperature deviation,91.51
QC_503314,2025-03-22 20:12:00,BATCH_13104,Wholegrain Brown,slice_uniformity_mm,3.43,pass,,3.43
QC_517765,2025-04-14 05:22:42,BATCH_17921,Wholegrain Brown,package_seal_strength,100.73,pass,,100.73
QC_517528,2025-02-27 00:30:22,BATCH_17842,Seed Loaf,package_seal_strength,89.51,pass,,89.51
QC_504852,2025-02-02 19:05:52,BATCH_13617,High Energy Brown,internal_temp_c,100.67,fail,Below expected tolerance,100.67
QC_504459,2025-02-24 03:38:34,BATCH_13486,High Energy White,moisture_percent,33.31,pass,,33.31
QC_511699,2025-04-27 02:48:37,BATCH_15899,High Energy White,texture_score,2.21,pass,,2.21
QC_502435,2025-05-22 12:04:15,BATCH_12811,Wholegrain Brown,texture_score,3.45,pass,,3.45
QC_503993,2025-07-05 07:42:17,BATCH_13331,Family Loaf,slice_uniformity_mm,2.24,pass,,2.24
QC_506104,2025-06-03 21:22:18,BATCH_14034,High Energy White,moisture_percent,33.22,pass,,33.22
QC_511377,2025-07-20 05:07:40,BATCH_15792,High Energy White,crust_color_level,1.6,pass,,1.6
QC_515584,2025-04-13 02:25:49,BATCH_17194,Family Loaf,crust_color_level,4.35,pass,,4.35
QC_512631,2025-03-22 05:49:33,BATCH_16210,Family Loaf,package_seal_strength,105.34,pass,,105.34
QC_517409,2025-07-08 05:07:28,BATCH_17803,High Energy Brown,crust_color_level,1.45,pass,,1.45
QC_510950,2025-07-17 14:31:22,BATCH_15650,High Energy Brown,internal_temp_c,93.49,pass,,93.49
QC_506392,2025-07-13 08:30:08,BATCH_14130,Wholegrain Brown,internal_temp_c,96.07,pass,,96.07
QC_507998,2025-01-05 08:39:54,BATCH_14666,High Energy White,moisture_percent,28.91,fail,Seal issue detected,28.91
QC_511070,2025-02-28 13:58:20,BATCH_15690,High Energy White,crust_color_level,4.99,pass,,4.99
QC_504034,2025-06-29 08:22:17,BATCH_13344,High Energy Brown,package_seal_strength,91.64,pass,,91.64
QC_512224,2025-03-13 16:53:16,BATCH_16074,Wholegrain Brown,texture_score,10.9,fail,Internal temperature deviation,10.9
QC_511289,2025-04-02 23:59:05,BATCH_15763,Seed Loaf,moisture_percent,39.97,fail,Color inconsistency,39.97
QC_506258,2025-07-09 23:23:26,BATCH_14086,High Energy White,texture_score,10.86,fail,Above tolerance range,10.86
QC_515672,2025-07-03 08:40:33,BATCH_17224,Seed Loaf,crust_color_level,-0.04,fail,Above tolerance range,-0.04
QC_502444,2025-01-14 03:32:44,BATCH_12814,Whole Wheat,moisture_percent,32.84,pass,,32.84
QC_501869,2025-07-13 21:08:49,BATCH_12623,High Energy White,package_seal_strength,93.68,pass,,93.68
QC_512451,2025-01-17 00:20:40,BATCH_16150,High Energy Brown,package_seal_strength,101.87,pass,,101.87
QC_513881,2025-07-17 19:09:55,BATCH_16627,Wholegrain Brown,texture_score,9.12,pass,,9.12
QC_512548,2025-05-22 19:25:49,BATCH_16182,High Energy White,slice_uniformity_mm,4.74,pass,,4.74
QC_502697,2025-05-01 20:02:19,BATCH_12899,Wholegrain Brown,crust_color_level,-0.93,fail,Internal temperature deviation,-0.93
QC_503014,2025-03-27 02:16:47,BATCH_13004,Whole Wheat,slice_uniformity_mm,6.26,fail,Seal issue detected,6.26
QC_511933,2025-03-12 13:31:36,BATCH_15977,High Energy White,package_seal_strength,111.4,pass,,111.4
QC_504877,2025-06-17 18:57:34,BATCH_13625,High Energy Brown,package_seal_strength,109.89,pass,,109.89
QC_506156,2025-01-31 18:38:03,BATCH_14052,Family Loaf,weight_grams,712.55,pass,,712.55
QC_500019,2025-03-27 16:54:12,BATCH_12006,Soft White,slice_uniformity_mm,5.07,pass,,5.07
QC_512343,2025-01-27 06:29:58,BATCH_16114,Whole Wheat,weight_grams,702.54,pass,,702.54
QC_517479,2025-07-21 15:41:05,BATCH_17826,High Energy Brown,moisture_percent,37.44,pass,,37.44
QC_513533,2025-03-27 02:53:41,BATCH_16511,Whole Wheat,weight_grams,710.37,pass,,710.37
QC_500828,2025-02-05 15:46:01,BATCH_12276,Wholegrain Brown,package_seal_strength,102.24,pass,,102.24
QC_510778,2025-07-27 16:24:46,BATCH_15592,High Energy Brown,crust_color_level,1.98,pass,,1.98
QC_513873,2025-05-19 05:56:19,BATCH_16624,Soft White,slice_uniformity_mm,0.96,fail,Color inconsistency,0.96
QC_517472,2025-02-14 01:51:22,BATCH_17824,High Energy Brown,crust_color_level,3.68,pass,,3.68
QC_515237,2025-03-04 23:23:59,BATCH_17079,Seed Loaf,internal_temp_c,94.35,pass,,94.35
QC_502950,2025-03-28 05:20:07,BATCH_12983,High Energy White,moisture_percent,34.02,pass,,34.02
QC_514100,2025-01-04 16:19:02,BATCH_16700,Whole Wheat,package_seal_strength,97.28,pass,,97.28
QC_511255,2025-03-23 11:48:26,BATCH_15751,Wholegrain Brown,slice_uniformity_mm,3.74,pass,,3.74
QC_507733,2025-04-04 15:25:36,BATCH_14577,Family Loaf,moisture_percent,38.98,pass,,38.98
QC_516139,2025-07-08 04:13:47,BATCH_17379,Wholegrain Brown,crust_color_level,3.26,pass,,3.26
QC_516498,2025-02-01 22:59:18,BATCH_17499,Wholegrain Brown,crust_color_level,3.99,pass,,3.99
QC_514845,2025-05-31 11:38:39,BATCH_16948,High Energy Brown,slice_uniformity_mm,1.06,fail,Color inconsistency,1.06
QC_503733,2025-05-03 07:55:20,BATCH_13244,Seed Loaf,internal_temp_c,100.51,fail,Seal issue detected,100.51
QC_505230,2025-03-10 00:00:00,BATCH_13743,Soft White,slice_uniformity_mm,1.97,fail,Seal issue detected,1.97
QC_504848,2025-04-08 10:07:13,BATCH_13616,High Energy White,slice_uniformity_mm,-0.23,fail,Color inconsistency,-0.23
QC_507335,2025-05-19 10:00:07,BATCH_14445,High Energy White,moisture_percent,40.14,fail,Seal issue detected,40.14
QC_501707,2025-03-24 14:13:49,BATCH_12569,Soft White,package_seal_strength,81.59,pass,,81.59
QC_516545,2025-03-07 20:08:25,BATCH_17515,Family Loaf,moisture_percent,34.35,pass,,34.35
QC_515678,2025-01-17 08:46:07,BATCH_17226,Soft White,weight_grams,709.22,pass,,709.22
QC_513882,2025-07-17 19:09:55,BATCH_16627,Wholegrain Brown,moisture_percent,40.28,fail,Seal issue detected,40.28
QC_516971,2025-01-07 18:29:02,BATCH_17657,Seed Loaf,texture_score,1.83,pass,,1.83
QC_507047,2025-05-12 12:44:03,BATCH_14349,Wholegrain Brown,moisture_percent,34.15,pass,,34.15
QC_516108,2025-02-18 23:00:13,BATCH_17369,Soft White,slice_uniformity_mm,1.47,fail,Internal temperature deviation,1.47
QC_513152,2025-01-03 05:27:38,BATCH_16384,Soft White,slice_uniformity_mm,4.38,pass,,4.38
QC_506260,2025-07-09 23:23:26,BATCH_14086,High Energy White,weight_grams,720.6,fail,Internal temperature deviation,720.6
QC_509806,2025-06-02 12:28:53,BATCH_15268,High Energy Brown,moisture_percent,35.85,pass,,35.85
QC_508846,2025-05-20 09:29:48,BATCH_14948,Seed Loaf,moisture_percent,38.96,pass,,38.96
QC_517843,2025-04-17 08:39:49,BATCH_17947,Seed Loaf,internal_temp_c,94.47,pass,,94.47
QC_512035,2025-06-21 16:41:59,BATCH_16011,Soft White,weight_grams,711.22,pass,,711.22
QC_510141,2025-05-20 05:44:12,BATCH_15380,High Energy White,package_seal_strength,114.24,pass,,114.24
QC_505502,2025-02-09 12:14:14,BATCH_13834,High Energy White,internal_temp_c,100.89,fail,Above tolerance range,100.89
QC_516895,2025-01-18 17:38:57,BATCH_17631,Wholegrain Brown,internal_temp_c,92.28,fail,Below expected tolerance,92.28
QC_516721,2025-06-24 22:49:10,BATCH_17573,Family Loaf,package_seal_strength,88.84,pass,,88.84
QC_508267,2025-06-07 11:23:24,BATCH_14755,Whole Wheat,moisture_percent,40.6,fail,Internal temperature deviation,40.6
QC_502480,2025-04-01 11:28:24,BATCH_12826,Seed Loaf,internal_temp_c,99.03,fail,Above tolerance range,99.03
QC_501027,2025-07-01 20:40:15,BATCH_12342,Seed Loaf,moisture_percent,39.41,fail,Below expected tolerance,39.41
QC_501427,2025-05-07 10:13:57,BATCH_12475,Soft White,texture_score,10.55,fail,Below expected tolerance,10.55
QC_502712,2025-02-01 00:55:19,BATCH_12904,Family Loaf,texture_score,-0.6,fail,Below expected tolerance,-0.6
QC_504449,2025-07-28 06:24:36,BATCH_13483,High Energy White,moisture_percent,38.8,pass,,38.8
QC_508962,2025-01-17 18:12:27,BATCH_14987,High Energy Brown,package_seal_strength,100.36,pass,,100.36
QC_506319,2025-06-26 06:53:04,BATCH_14106,Family Loaf,internal_temp_c,94.18,pass,,94.18
QC_503204,2025-02-06 07:42:25,BATCH_13068,High Energy White,texture_score,10.11,fail,Color inconsistency,10.11
QC_507109,2025-02-23 12:20:36,BATCH_14369,High Energy White,crust_color_level,-1.14,fail,Seal issue detected,-1.14
QC_508875,2025-04-26 17:14:41,BATCH_14958,Family Loaf,moisture_percent,32.86,pass,,32.86
QC_503547,2025-06-10 00:12:27,BATCH_13182,High Energy White,moisture_percent,41.4,fail,Internal temperature deviation,41.4
QC_503077,2025-03-13 16:32:36,BATCH_13025,Wholegrain Brown,crust_color_level,0.91,fail,Internal temperature deviation,0.91
QC_517866,2025-06-15 03:33:08,BATCH_17955,High Energy White,moisture_percent,34.65,pass,,34.65
QC_508439,2025-03-26 09:03:33,BATCH_14813,Family Loaf,texture_score,7.41,pass,,7.41
QC_500657,2025-03-10 19:49:54,BATCH_12219,Soft White,crust_color_level,1.78,pass,,1.78
QC_512904,2025-03-22 01:54:23,BATCH_16301,High Energy White,crust_color_level,6.08,fail,Internal temperature deviation,6.08
QC_504193,2025-07-11 04:56:21,BATCH_13397,High Energy White,weight_grams,706.76,pass,,706.76
QC_500751,2025-01-17 09:56:15,BATCH_12250,High Energy Brown,internal_temp_c,97.65,pass,,97.65
QC_505007,2025-03-18 03:32:17,BATCH_13669,Seed Loaf,texture_score,7.13,pass,,7.13
QC_502039,2025-06-30 15:34:06,BATCH_12679,Family Loaf,texture_score,-1.04,fail,Color inconsistency,-1.04
QC_517923,2025-05-04 05:59:24,BATCH_17974,Seed Loaf,internal_temp_c,95.71,pass,,95.71
QC_517485,2025-02-09 09:02:35,BATCH_17828,Family Loaf,internal_temp_c,93.21,pass,,93.21
QC_509236,2025-05-30 01:32:00,BATCH_15078,High Energy Brown,crust_color_level,0.65,fail,Seal issue detected,0.65
QC_516642,2025-06-20 08:18:44,BATCH_17547,Whole Wheat,internal_temp_c,97.18,pass,,97.18
QC_506945,2025-03-29 23:35:48,BATCH_14315,Seed Loaf,weight_grams,711.11,pass,,711.11
QC_512740,2025-03-06 10:40:17,BATCH_16246,Soft White,crust_color_level,2.68,pass,,2.68
QC_514164,2025-07-13 14:23:10,BATCH_16721,Wholegrain Brown,moisture_percent,39.68,fail,Seal issue detected,39.68
QC_509140,2025-07-04 23:25:57,BATCH_15046,Wholegrain Brown,crust_color_level,2.97,pass,,2.97
QC_512469,2025-04-30 08:23:45,BATCH_16156,High Energy Brown,moisture_percent,36.5,pass,,36.5
QC_517784,2025-06-25 02:07:47,BATCH_17928,Family Loaf,texture_score,-1.08,fail,Seal issue detected,-1.08
QC_502078,2025-03-28 13:43:41,BATCH_12692,High Energy White,moisture_percent,33.45,pass,,33.45
QC_509645,2025-04-08 23:51:25,BATCH_15215,Family Loaf,weight_grams,709.13,pass,,709.13
QC_506101,2025-01-20 07:25:21,BATCH_14033,Soft White,internal_temp_c,99.88,fail,Color inconsistency,99.88
QC_503482,2025-04-16 03:36:06,BATCH_13160,Soft White,crust_color_level,3.08,pass,,3.08
QC_503649,2025-04-04 20:45:16,BATCH_13216,Whole Wheat,package_seal_strength,107.36,pass,,107.36
QC_501783,2025-04-06 11:02:32,BATCH_12594,Seed Loaf,weight_grams,712.43,pass,,712.43
QC_516495,2025-01-17 04:29:18,BATCH_17498,High Energy White,crust_color_level,6.86,fail,Seal issue detected,6.86
QC_515187,2025-02-23 20:15:24,BATCH_17062,High Energy Brown,slice_uniformity_mm,4.52,pass,,4.52
QC_501688,2025-04-21 14:13:16,BATCH_12562,Whole Wheat,weight_grams,721.51,fail,Color inconsistency,721.51
QC_510419,2025-03-22 19:30:52,BATCH_15473,Seed Loaf,moisture_percent,33.37,pass,,33.37
QC_500576,2025-04-16 16:49:42,BATCH_12192,Seed Loaf,moisture_percent,28.6,fail,Color inconsistency,28.6
QC_510305,2025-07-15 03:13:45,BATCH_15435,Seed Loaf,crust_color_level,7.43,fail,Below expected tolerance,7.43
QC_505357,2025-06-02 01:36:07,BATCH_13785,Whole Wheat,internal_temp_c,98.66,pass,,98.66
QC_511697,2025-04-27 02:48:37,BATCH_15899,High Energy White,weight_grams,717.31,pass,,717.31
QC_514851,2025-06-25 19:17:38,BATCH_16950,Wholegrain Brown,package_seal_strength,106.55,pass,,106.55
QC_509969,2025-02-15 05:18:49,BATCH_15323,Seed Loaf,texture_score,6.4,pass,,6.4
QC_505921,2025-01-06 03:02:19,BATCH_13973,Wholegrain Brown,slice_uniformity_mm,8.04,fail,Seal issue detected,8.04
QC_501768,2025-01-20 22:25:20,BATCH_12589,High Energy White,texture_score,10.65,fail,Internal temperature deviation,10.65
QC_503522,2025-03-19 22:20:15,BATCH_13174,Family Loaf,package_seal_strength,107.72,pass,,107.72
QC_516004,2025-07-12 21:25:54,BATCH_17334,High Energy White,internal_temp_c,94.19,pass,,94.19
QC_507486,2025-01-22 23:30:54,BATCH_14495,Whole Wheat,moisture_percent,31.02,pass,,31.02
QC_505459,2025-01-14 06:38:36,BATCH_13819,Seed Loaf,slice_uniformity_mm,4.91,pass,,4.91
QC_503739,2025-01-06 16:23:56,BATCH_13246,Seed Loaf,weight_grams,696.18,pass,,696.18
QC_505331,2025-03-24 08:45:55,BATCH_13777,Family Loaf,slice_uniformity_mm,6.07,fail,Seal issue detected,6.07
QC_516404,2025-05-18 01:43:01,BATCH_17468,Whole Wheat,weight_grams,716.6,pass,,716.6
QC_510300,2025-06-13 06:40:26,BATCH_15433,High Energy Brown,weight_grams,704.72,pass,,704.72
QC_500424,2025-04-07 08:08:55,BATCH_12141,Wholegrain Brown,slice_uniformity_mm,7.35,fail,Seal issue detected,7.35
QC_510447,2025-01-22 09:43:15,BATCH_15482,Soft White,weight_grams,687.76,pass,,687.76
QC_510044,2025-01-21 16:03:38,BATCH_15348,Wholegrain Brown,moisture_percent,38.14,pass,,38.14
QC_517272,2025-01-14 21:12:09,BATCH_17757,Seed Loaf,slice_uniformity_mm,5.43,pass,,5.43
QC_512408,2025-05-04 17:07:57,BATCH_16136,Soft White,package_seal_strength,111.88,pass,,111.88
QC_515495,2025-01-29 01:54:22,BATCH_17165,Family Loaf,crust_color_level,0.72,fail,Color inconsistency,0.72
QC_507969,2025-06-12 19:32:01,BATCH_14656,Soft White,moisture_percent,33.34,pass,,33.34
QC_509478,2025-03-19 12:42:21,BATCH_15159,Soft White,weight_grams,698.54,pass,,698.54
QC_508303,2025-01-14 23:12:31,BATCH_14767,Family Loaf,package_seal_strength,115.66,pass,,115.66
QC_511726,2025-01-29 01:57:57,BATCH_15908,Family Loaf,weight_grams,698.83,pass,,698.83
QC_517173,2025-07-02 09:28:30,BATCH_17724,Wholegrain Brown,weight_grams,705.97,pass,,705.97
QC_503651,2025-03-02 02:34:38,BATCH_13217,Family Loaf,slice_uniformity_mm,6.26,fail,Color inconsistency,6.26
QC_517215,2025-05-11 00:18:00,BATCH_17738,Family Loaf,weight_grams,686.99,pass,,686.99
QC_514697,2025-02-19 17:38:04,BATCH_16899,Whole Wheat,texture_score,9.1,pass,,9.1
QC_512245,2025-01-18 01:15:00,BATCH_16081,Soft White,weight_grams,689.25,pass,,689.25
QC_507180,2025-02-24 20:40:39,BATCH_14393,Soft White,crust_color_level,3.24,pass,,3.24
QC_507567,2025-06-10 04:00:28,BATCH_14522,Whole Wheat,texture_score,-0.2,fail,Seal issue detected,-0.2
QC_508764,2025-04-07 13:38:48,BATCH_14921,High Energy Brown,moisture_percent,30.27,fail,Above tolerance range,30.27
QC_510877,2025-06-13 08:41:35,BATCH_15625,Soft White,package_seal_strength,92.59,pass,,92.59
QC_508736,2025-07-02 16:13:35,BATCH_14912,Whole Wheat,slice_uniformity_mm,0.72,fail,Above tolerance range,0.72
QC_517525,2025-01-14 09:10:45,BATCH_17841,Soft White,internal_temp_c,101.1,fail,Above tolerance range,101.1
QC_505112,2025-06-30 02:17:23,BATCH_13704,Soft White,texture_score,4.07,pass,,4.07
QC_512577,2025-01-28 21:16:49,BATCH_16192,Wholegrain Brown,internal_temp_c,96.82,pass,,96.82
QC_504140,2025-01-29 15:29:28,BATCH_13380,High Energy Brown,internal_temp_c,98.72,pass,,98.72
QC_507917,2025-04-10 22:20:12,BATCH_14639,High Energy White,texture_score,2.16,pass,,2.16
