batch_id,sku,parameter,fail_count,mean_value,min_value,max_value,notes_sample
BATCH_13535,Soft White,internal_temp_c,1,91.33,91.33,91.33,Color inconsistency
BATCH_13535,Soft White,package_seal_strength,1,79.44,79.44,79.44,Below expected tolerance
BATCH_13535,Soft White,slice_uniformity_mm,1,7.31,7.31,7.31,Color inconsistency
BATCH_13536,Whole Wheat,crust_color_level,1,0.93,0.93,0.93,Above tolerance range
BATCH_13537,Soft White,package_seal_strength,1,120.96,120.96,120.96,Seal issue detected
BATCH_13540,High Energy White,slice_uniformity_mm,1,0.25,0.25,0.25,Internal temperature deviation
BATCH_13541,Family Loaf,moisture_percent,1,41.13,41.13,41.13,Below expected tolerance
BATCH_13541,Family Loaf,weight_grams,1,678.09,678.09,678.09,Above tolerance range
BATCH_13542,Wholegrain Brown,crust_color_level,1,-0.56,-0.56,-0.56,Above tolerance range
BATCH_13543,Seed Loaf,texture_score,1,10.52,10.52,10.52,Color inconsistency
BATCH_13544,Soft White,crust_color_level,1,6.31,6.31,6.31,Internal temperature deviation
BATCH_13547,High Energy Brown,internal_temp_c,1,90.81,90.81,90.81,Internal temperature deviation
BATCH_13547,High Energy Brown,moisture_percent,1,40.12,40.12,40.12,Above tolerance range
BATCH_13548,Soft White,texture_score,1,-0.32,-0.32,-0.32,Seal issue detected
BATCH_13549,High Energy White,internal_temp_c,1,91.58,91.58,91.58,Seal issue detected
BATCH_13549,High Energy White,slice_uniformity_mm,1,7.85,7.85,7.85,Above tolerance range
BATCH_13551,Wholegrain Brown,slice_uniformity_mm,1,1.74,1.74,1.74,Below expected tolerance
BATCH_13552,Soft White,internal_temp_c,1,92.99,92.99,92.99,Internal temperature deviation
BATCH_13554,High Energy White,moisture_percent,1,29.73,29.73,29.73,Internal temperature deviation
BATCH_13555,Whole Wheat,internal_temp_c,1,99.88,99.88,99.88,Above tolerance range
BATCH_13556,Soft White,crust_color_level,1,-0.22,-0.22,-0.22,Below expected tolerance
BATCH_13558,Wholegrain Brown,crust_color_level,1,-0.52,-0.52,-0.52,Below expected tolerance
BATCH_13558,Wholegrain Brown,texture_score,1,-1.49,-1.49,-1.49,Above tolerance range
BATCH_13559,High Energy White,texture_score,1,0.84,0.84,0.84,Above tolerance range
BATCH_13560,High Energy White,internal_temp_c,1,101.39,101.39,101.39,Color inconsistency
BATCH_13561,Whole Wheat,crust_color_level,1,0.78,0.78,0.78,Seal issue detected
BATCH_13561,Whole Wheat,moisture_percent,1,39.26,39.26,39.26,Color inconsistency
BATCH_13563,High Energy White,slice_uniformity_mm,1,-0.31,-0.31,-0.31,Seal issue detected
BATCH_13564,High Energy Brown,slice_uniformity_mm,1,8.26,8.26,8.26,Color inconsistency
BATCH_13566,Wholegrain Brown,crust_color_level,1,7.01,7.01,7.01,Color inconsistency
BATCH_13566,Wholegrain Brown,texture_score,1,0.95,0.95,0.95,Color inconsistency
BATCH_13567,High Energy White,texture_score,1,0.22,0.22,0.22,Seal issue detected
BATCH_13567,High Energy White,weight_grams,1,679.35,679.35,679.35,Internal temperature deviation
BATCH_13568,Seed Loaf,crust_color_level,1,6.85,6.85,6.85,Above tolerance range
BATCH_13568,Seed Loaf,internal_temp_c,1,91.71,91.71,91.71,Below expected tolerance
BATCH_13569,Wholegrain Brown,slice_uniformity_mm,1,0.85,0.85,0.85,Color inconsistency
BATCH_13571,Seed Loaf,moisture_percent,1,29.19,29.19,29.19,Color inconsistency
BATCH_13571,Seed Loaf,slice_uniformity_mm,1,7.01,7.01,7.01,Below expected tolerance
BATCH_13572,High Energy White,internal_temp_c,1,99.14,99.14,99.14,Internal temperature deviation
BATCH_13572,High Energy White,slice_uniformity_mm,1,8.13,8.13,8.13,Internal temperature deviation
BATCH_13573,High Energy Brown,weight_grams,1,722.32,722.32,722.32,Above tolerance range
BATCH_13574,Soft White,internal_temp_c,1,92.91,92.91,92.91,Seal issue detected
BATCH_13575,Wholegrain Brown,crust_color_level,1,7.2,7.2,7.2,Below expected tolerance
BATCH_13576,Whole Wheat,internal_temp_c,1,99.35,99.35,99.35,Above tolerance range
BATCH_13576,Whole Wheat,slice_uniformity_mm,1,6.41,6.41,6.41,Color inconsistency
BATCH_13578,High Energy Brown,crust_color_level,1,5.54,5.54,5.54,Seal issue detected
BATCH_13578,High Energy Brown,moisture_percent,1,30.3,30.3,30.3,Seal issue detected
BATCH_13579,Whole Wheat,crust_color_level,1,7.15,7.15,7.15,Seal issue detected
BATCH_13581,Seed Loaf,texture_score,1,10.79,10.79,10.79,Below expected tolerance
BATCH_13582,Family Loaf,crust_color_level,1,5.77,5.77,5.77,Internal temperature deviation
BATCH_13583,Wholegrain Brown,internal_temp_c,1,99.63,99.63,99.63,Below expected tolerance
BATCH_13583,Wholegrain Brown,package_seal_strength,1,79.95,79.95,79.95,Below expected tolerance
BATCH_13584,Family Loaf,moisture_percent,1,30.08,30.08,30.08,Internal temperature deviation
BATCH_13585,Whole Wheat,texture_score,1,0.52,0.52,0.52,Seal issue detected
BATCH_13586,High Energy Brown,slice_uniformity_mm,1,7.17,7.17,7.17,Color inconsistency
BATCH_13587,Soft White,moisture_percent,1,30.49,30.49,30.49,Below expected tolerance
BATCH_13587,Soft White,slice_uniformity_mm,1,1.31,1.31,1.31,Below expected tolerance
BATCH_13589,Wholegrain Brown,moisture_percent,1,40.54,40.54,40.54,Color inconsistency
BATCH_13590,Family Loaf,crust_color_level,1,6.23,6.23,6.23,Internal temperature deviation
BATCH_13591,Soft White,crust_color_level,1,-0.18,-0.18,-0.18,Below expected tolerance
BATCH_13593,Whole Wheat,moisture_percent,1,40.97,40.97,40.97,Seal issue detected
BATCH_13596,Whole Wheat,internal_temp_c,1,101.09,101.09,101.09,Seal issue detected
BATCH_13598,Whole Wheat,moisture_percent,1,30.77,30.77,30.77,Above tolerance range
BATCH_13599,Seed Loaf,internal_temp_c,1,99.13,99.13,99.13,Color inconsistency
BATCH_13600,Wholegrain Brown,crust_color_level,1,7.16,7.16,7.16,Internal temperature deviation
BATCH_13600,Wholegrain Brown,moisture_percent,1,40.41,40.41,40.41,Seal issue detected
BATCH_13600,Wholegrain Brown,slice_uniformity_mm,1,1.12,1.12,1.12,Internal temperature deviation
BATCH_13601,Family Loaf,texture_score,1,11.87,11.87,11.87,Color inconsistency
BATCH_13602,Seed Loaf,moisture_percent,1,28.88,28.88,28.88,Above tolerance range
BATCH_13602,Seed Loaf,texture_score,1,10.12,10.12,10.12,Below expected tolerance
BATCH_13603,Soft White,crust_color_level,1,6.91,6.91,6.91,Seal issue detected
BATCH_13604,Whole Wheat,crust_color_level,1,5.3,5.3,5.3,Seal issue detected
BATCH_13605,Soft White,crust_color_level,1,5.37,5.37,5.37,Internal temperature deviation
BATCH_13605,Soft White,moisture_percent,1,28.99,28.99,28.99,Below expected tolerance
BATCH_13606,Whole Wheat,crust_color_level,1,-0.3,-0.3,-0.3,Internal temperature deviation
BATCH_13606,Whole Wheat,internal_temp_c,1,91.68,91.68,91.68,Seal issue detected
BATCH_13606,Whole Wheat,package_seal_strength,1,78.83,78.83,78.83,Above tolerance range
BATCH_13607,Seed Loaf,internal_temp_c,1,92.98,92.98,92.98,Above tolerance range
BATCH_13608,Wholegrain Brown,texture_score,1,-1.16,-1.16,-1.16,Below expected tolerance
BATCH_13609,High Energy Brown,internal_temp_c,1,99.02,99.02,99.02,Internal temperature deviation
BATCH_13609,High Energy Brown,moisture_percent,1,39.03,39.03,39.03,Below expected tolerance
BATCH_13609,High Energy Brown,texture_score,1,10.6,10.6,10.6,Color inconsistency
BATCH_13610,High Energy Brown,crust_color_level,1,0.21,0.21,0.21,Above tolerance range
BATCH_13610,High Energy Brown,slice_uniformity_mm,1,6.07,6.07,6.07,Internal temperature deviation
BATCH_13610,High Energy Brown,texture_score,1,10.09,10.09,10.09,Internal temperature deviation
BATCH_13611,High Energy White,texture_score,1,10.45,10.45,10.45,Below expected tolerance
BATCH_13612,Wholegrain Brown,internal_temp_c,1,91.61,91.61,91.61,Seal issue detected
BATCH_13612,Wholegrain Brown,moisture_percent,1,30.15,30.15,30.15,Internal temperature deviation
BATCH_13613,High Energy Brown,internal_temp_c,1,90.75,90.75,90.75,Color inconsistency
BATCH_13615,Seed Loaf,texture_score,1,-0.71,-0.71,-0.71,Below expected tolerance
BATCH_13616,High Energy White,crust_color_level,1,0.85,0.85,0.85,Color inconsistency
BATCH_13616,High Energy White,slice_uniformity_mm,1,-0.23,-0.23,-0.23,Color inconsistency
BATCH_13617,High Energy Brown,internal_temp_c,1,100.67,100.67,100.67,Below expected tolerance
BATCH_13618,Family Loaf,internal_temp_c,1,101.29,101.29,101.29,Seal issue detected
BATCH_13618,Family Loaf,texture_score,1,11.16,11.16,11.16,Below expected tolerance
BATCH_13619,Soft White,moisture_percent,1,29.85,29.85,29.85,Seal issue detected
BATCH_13621,High Energy Brown,moisture_percent,1,40.61,40.61,40.61,Below expected tolerance
BATCH_13622,Family Loaf,slice_uniformity_mm,1,-0.34,-0.34,-0.34,Seal issue detected
BATCH_13623,Wholegrain Brown,moisture_percent,1,40.16,40.16,40.16,Color inconsistency
BATCH_13623,Wholegrain Brown,slice_uniformity_mm,1,0.63,0.63,0.63,Seal issue detected
BATCH_13623,Wholegrain Brown,texture_score,1,0.43,0.43,0.43,Seal issue detected
BATCH_13625,High Energy Brown,crust_color_level,1,5.23,5.23,5.23,Internal temperature deviation
BATCH_13625,High Energy Brown,texture_score,1,-0.86,-0.86,-0.86,Below expected tolerance
BATCH_13626,Family Loaf,crust_color_level,1,0.13,0.13,0.13,Below expected tolerance
BATCH_13626,Family Loaf,moisture_percent,1,29.5,29.5,29.5,Above tolerance range
BATCH_13627,Whole Wheat,slice_uniformity_mm,1,0.6,0.6,0.6,Below expected tolerance
BATCH_13627,Whole Wheat,weight_grams,1,722.41,722.41,722.41,Above tolerance range
BATCH_13628,Soft White,internal_temp_c,1,100.82,100.82,100.82,Above tolerance range
BATCH_13631,Wholegrain Brown,internal_temp_c,1,91.36,91.36,91.36,Above tolerance range
BATCH_13631,Wholegrain Brown,package_seal_strength,1,121.42,121.42,121.42,Above tolerance range
BATCH_13631,Wholegrain Brown,slice_uniformity_mm,1,8.06,8.06,8.06,Seal issue detected
BATCH_13633,Soft White,slice_uniformity_mm,1,6.38,6.38,6.38,Below expected tolerance
BATCH_13634,Soft White,moisture_percent,1,29.28,29.28,29.28,Internal temperature deviation
BATCH_13635,Wholegrain Brown,crust_color_level,1,-1.33,-1.33,-1.33,Seal issue detected
BATCH_13637,High Energy White,moisture_percent,1,40.33,40.33,40.33,Color inconsistency
BATCH_13638,High Energy Brown,crust_color_level,1,6.29,6.29,6.29,Below expected tolerance
BATCH_13638,High Energy Brown,package_seal_strength,1,78.73,78.73,78.73,Internal temperature deviation
BATCH_13639,Wholegrain Brown,package_seal_strength,1,122.09,122.09,122.09,Internal temperature deviation
BATCH_13639,Wholegrain Brown,slice_uniformity_mm,1,7.89,7.89,7.89,Color inconsistency
BATCH_13640,Whole Wheat,crust_color_level,1,5.21,5.21,5.21,Above tolerance range
BATCH_13640,Whole Wheat,internal_temp_c,1,92.29,92.29,92.29,Seal issue detected
BATCH_13641,High Energy Brown,slice_uniformity_mm,1,8.06,8.06,8.06,Below expected tolerance
BATCH_13644,Whole Wheat,crust_color_level,1,-1.42,-1.42,-1.42,Below expected tolerance
BATCH_13644,Whole Wheat,internal_temp_c,1,99.7,99.7,99.7,Above tolerance range
BATCH_13647,Family Loaf,crust_color_level,1,-0.35,-0.35,-0.35,Above tolerance range
BATCH_13648,Whole Wheat,slice_uniformity_mm,1,-0.15,-0.15,-0.15,Internal temperature deviation
BATCH_13649,High Energy White,slice_uniformity_mm,1,8.43,8.43,8.43,Color inconsistency
BATCH_13650,Soft White,slice_uniformity_mm,1,7.1,7.1,7.1,Color inconsistency
BATCH_13654,Seed Loaf,internal_temp_c,1,100.73,100.73,100.73,Internal temperature deviation
BATCH_13656,High Energy White,crust_color_level,1,5.36,5.36,5.36,Below expected tolerance
BATCH_13656,High Energy White,texture_score,1,-1.04,-1.04,-1.04,Above tolerance range
BATCH_13658,Whole Wheat,moisture_percent,1,39.52,39.52,39.52,Internal temperature deviation
BATCH_13658,Whole Wheat,package_seal_strength,1,79.81,79.81,79.81,Seal issue detected
BATCH_13660,Family Loaf,package_seal_strength,1,121.49,121.49,121.49,Above tolerance range
BATCH_13661,Wholegrain Brown,internal_temp_c,1,91.38,91.38,91.38,Internal temperature deviation
BATCH_13661,Wholegrain Brown,slice_uniformity_mm,1,8.12,8.12,8.12,Seal issue detected
BATCH_13661,Wholegrain Brown,texture_score,1,-0.43,-0.43,-0.43,Color inconsistency
BATCH_13662,Whole Wheat,crust_color_level,1,5.58,5.58,5.58,Above tolerance range
BATCH_13662,Whole Wheat,texture_score,1,10.09,10.09,10.09,Above tolerance range
BATCH_13663,Seed Loaf,slice_uniformity_mm,1,0.74,0.74,0.74,Color inconsistency
BATCH_13664,Family Loaf,moisture_percent,1,29.56,29.56,29.56,Seal issue detected
BATCH_13664,Family Loaf,texture_score,1,12.27,12.27,12.27,Internal temperature deviation
BATCH_13665,Wholegrain Brown,moisture_percent,1,30.67,30.67,30.67,Seal issue detected
BATCH_13665,Wholegrain Brown,slice_uniformity_mm,1,7.43,7.43,7.43,Above tolerance range
BATCH_13666,High Energy White,crust_color_level,1,5.19,5.19,5.19,Above tolerance range
BATCH_13666,High Energy White,package_seal_strength,1,79.03,79.03,79.03,Seal issue detected
BATCH_13667,Soft White,slice_uniformity_mm,1,1.0,1.0,1.0,Below expected tolerance
BATCH_13667,Soft White,texture_score,1,11.36,11.36,11.36,Seal issue detected
BATCH_13668,High Energy White,internal_temp_c,1,91.81,91.81,91.81,Color inconsistency
BATCH_13669,Seed Loaf,crust_color_level,1,6.7,6.7,6.7,Seal issue detected
BATCH_13669,Seed Loaf,slice_uniformity_mm,1,-0.09,-0.09,-0.09,Color inconsistency
BATCH_13671,Whole Wheat,moisture_percent,1,30.48,30.48,30.48,Below expected tolerance
BATCH_13675,High Energy White,weight_grams,1,679.39,679.39,679.39,Above tolerance range
BATCH_13677,Soft White,crust_color_level,1,0.51,0.51,0.51,Above tolerance range
BATCH_13677,Soft White,internal_temp_c,1,100.83,100.83,100.83,Color inconsistency
BATCH_13679,Seed Loaf,weight_grams,1,678.73,678.73,678.73,Below expected tolerance
BATCH_13680,High Energy Brown,internal_temp_c,1,100.86,100.86,100.86,Internal temperature deviation
BATCH_13680,High Energy Brown,package_seal_strength,1,78.66,78.66,78.66,Above tolerance range
BATCH_13681,Wholegrain Brown,internal_temp_c,1,100.6,100.6,100.6,Below expected tolerance
BATCH_13682,Wholegrain Brown,moisture_percent,1,39.74,39.74,39.74,Color inconsistency
BATCH_13684,Seed Loaf,slice_uniformity_mm,1,6.12,6.12,6.12,Below expected tolerance
BATCH_13685,Soft White,crust_color_level,1,-0.6,-0.6,-0.6,Internal temperature deviation
BATCH_13685,Soft White,internal_temp_c,1,92.59,92.59,92.59,Internal temperature deviation
BATCH_13685,Soft White,slice_uniformity_mm,1,7.04,7.04,7.04,Below expected tolerance
BATCH_13686,Whole Wheat,slice_uniformity_mm,1,-0.43,-0.43,-0.43,Above tolerance range
BATCH_13687,High Energy White,crust_color_level,1,-0.14,-0.14,-0.14,Above tolerance range
BATCH_13688,Soft White,texture_score,1,10.5,10.5,10.5,Above tolerance range
BATCH_13690,Whole Wheat,slice_uniformity_mm,1,8.09,8.09,8.09,Color inconsistency
BATCH_13692,Wholegrain Brown,crust_color_level,1,7.22,7.22,7.22,Color inconsistency
BATCH_13692,Wholegrain Brown,internal_temp_c,1,91.56,91.56,91.56,
BATCH_13694,High Energy White,crust_color_level,1,6.06,6.06,6.06,Seal issue detected
BATCH_13698,High Energy Brown,crust_color_level,1,0.49,0.49,0.49,Above tolerance range
BATCH_13699,Seed Loaf,moisture_percent,1,40.82,40.82,40.82,Internal temperature deviation
BATCH_13700,Seed Loaf,texture_score,1,-1.22,-1.22,-1.22,Below expected tolerance
BATCH_13702,Seed Loaf,crust_color_level,1,6.24,6.24,6.24,Above tolerance range
BATCH_13702,Seed Loaf,internal_temp_c,1,99.31,99.31,99.31,Color inconsistency
BATCH_13702,Seed Loaf,weight_grams,1,721.83,721.83,721.83,Internal temperature deviation
BATCH_13703,High Energy White,crust_color_level,1,0.44,0.44,0.44,Above tolerance range
BATCH_13703,High Energy White,moisture_percent,1,28.97,28.97,28.97,Below expected tolerance
BATCH_13704,Soft White,crust_color_level,1,-1.12,-1.12,-1.12,Color inconsistency
BATCH_13704,Soft White,internal_temp_c,1,90.77,90.77,90.77,Above tolerance range
BATCH_13706,Family Loaf,slice_uniformity_mm,1,7.39,7.39,7.39,Below expected tolerance
BATCH_13708,Family Loaf,internal_temp_c,1,99.13,99.13,99.13,Seal issue detected
BATCH_13710,Soft White,weight_grams,1,721.01,721.01,721.01,Internal temperature deviation
BATCH_13711,High Energy Brown,crust_color_level,1,-1.35,-1.35,-1.35,Seal issue detected
BATCH_13712,Whole Wheat,texture_score,1,12.15,12.15,12.15,Seal issue detected
BATCH_13715,Soft White,slice_uniformity_mm,1,7.06,7.06,7.06,Above tolerance range
BATCH_13716,Soft White,internal_temp_c,1,99.68,99.68,99.68,Below expected tolerance
BATCH_13717,High Energy White,crust_color_level,1,6.34,6.34,6.34,Color inconsistency
BATCH_13717,High Energy White,slice_uniformity_mm,1,1.38,1.38,1.38,Internal temperature deviation
BATCH_13718,Family Loaf,internal_temp_c,1,101.05,101.05,101.05,Above tolerance range
BATCH_13719,Wholegrain Brown,slice_uniformity_mm,1,8.43,8.43,8.43,Below expected tolerance
BATCH_13720,Soft White,crust_color_level,1,-0.35,-0.35,-0.35,
BATCH_13720,Soft White,moisture_percent,1,30.66,30.66,30.66,Seal issue detected
BATCH_13721,Family Loaf,moisture_percent,1,29.01,29.01,29.01,Seal issue detected
BATCH_13723,High Energy White,slice_uniformity_mm,1,1.34,1.34,1.34,Internal temperature deviation
BATCH_13725,Whole Wheat,slice_uniformity_mm,1,8.47,8.47,8.47,Above tolerance range
BATCH_13726,High Energy White,crust_color_level,1,0.11,0.11,0.11,Seal issue detected
BATCH_13726,High Energy White,moisture_percent,1,41.41,41.41,41.41,Below expected tolerance
BATCH_13727,High Energy Brown,internal_temp_c,1,91.54,91.54,91.54,Internal temperature deviation
BATCH_13727,High Energy Brown,slice_uniformity_mm,1,0.34,0.34,0.34,Seal issue detected
BATCH_13728,Soft White,moisture_percent,1,40.56,40.56,40.56,Color inconsistency
BATCH_13730,Family Loaf,crust_color_level,1,6.91,6.91,6.91,Internal temperature deviation
BATCH_13731,High Energy Brown,internal_temp_c,1,92.46,92.46,92.46,Internal temperature deviation
BATCH_13731,High Energy Brown,moisture_percent,1,30.15,30.15,30.15,Internal temperature deviation
BATCH_13732,Seed Loaf,slice_uniformity_mm,1,6.39,6.39,6.39,Color inconsistency
BATCH_13733,Family Loaf,slice_uniformity_mm,1,7.34,7.34,7.34,Seal issue detected
BATCH_13734,High Energy Brown,crust_color_level,1,6.37,6.37,6.37,Color inconsistency
BATCH_13734,High Energy Brown,moisture_percent,1,40.58,40.58,40.58,Internal temperature deviation
BATCH_13735,Soft White,moisture_percent,1,30.28,30.28,30.28,Seal issue detected
BATCH_13737,High Energy White,internal_temp_c,1,99.73,99.73,99.73,Color inconsistency
BATCH_13737,High Energy White,texture_score,1,-0.41,-0.41,-0.41,Internal temperature deviation
BATCH_13738,High Energy Brown,slice_uniformity_mm,1,7.0,7.0,7.0,Above tolerance range
BATCH_13739,Family Loaf,texture_score,1,11.1,11.1,11.1,Color inconsistency
BATCH_13739,Family Loaf,weight_grams,1,678.64,678.64,678.64,Color inconsistency
BATCH_13740,Family Loaf,crust_color_level,1,5.44,5.44,5.44,Color inconsistency
BATCH_13741,High Energy Brown,slice_uniformity_mm,1,8.46,8.46,8.46,Above tolerance range
BATCH_13742,High Energy Brown,internal_temp_c,1,91.54,91.54,91.54,Color inconsistency
BATCH_13743,Soft White,crust_color_level,1,-1.1,-1.1,-1.1,Color inconsistency
BATCH_13743,Soft White,slice_uniformity_mm,1,1.97,1.97,1.97,Seal issue detected
BATCH_13744,High Energy White,slice_uniformity_mm,1,0.02,0.02,0.02,Internal temperature deviation
BATCH_13746,Soft White,internal_temp_c,1,90.82,90.82,90.82,Above tolerance range
BATCH_13746,Soft White,slice_uniformity_mm,1,6.13,6.13,6.13,Above tolerance range
BATCH_13747,Family Loaf,moisture_percent,1,29.23,29.23,29.23,Below expected tolerance
BATCH_13748,Whole Wheat,internal_temp_c,1,99.71,99.71,99.71,Color inconsistency
BATCH_13748,Whole Wheat,slice_uniformity_mm,1,1.02,1.02,1.02,Internal temperature deviation
BATCH_13750,Soft White,slice_uniformity_mm,1,1.9,1.9,1.9,Above tolerance range
BATCH_13751,Wholegrain Brown,crust_color_level,1,0.06,0.06,0.06,Below expected tolerance
BATCH_13752,High Energy White,texture_score,1,10.21,10.21,10.21,Below expected tolerance
BATCH_13754,Whole Wheat,crust_color_level,1,-0.77,-0.77,-0.77,Above tolerance range
BATCH_13754,Whole Wheat,package_seal_strength,1,77.97,77.97,77.97,Color inconsistency
BATCH_13756,High Energy White,internal_temp_c,1,92.46,92.46,92.46,Above tolerance range
BATCH_13758,Wholegrain Brown,internal_temp_c,1,91.52,91.52,91.52,Color inconsistency
BATCH_13760,High Energy Brown,slice_uniformity_mm,1,6.8,6.8,6.8,Color inconsistency
BATCH_13761,High Energy Brown,slice_uniformity_mm,1,6.65,6.65,6.65,Below expected tolerance
BATCH_13762,Seed Loaf,moisture_percent,1,40.48,40.48,40.48,Internal temperature deviation
BATCH_13763,Whole Wheat,slice_uniformity_mm,1,1.18,1.18,1.18,Above tolerance range
BATCH_13764,Whole Wheat,slice_uniformity_mm,1,0.44,0.44,0.44,Color inconsistency
BATCH_13764,Whole Wheat,texture_score,1,11.12,11.12,11.12,Color inconsistency
BATCH_13765,High Energy Brown,moisture_percent,1,30.93,30.93,30.93,Color inconsistency
BATCH_13766,High Energy White,crust_color_level,1,5.78,5.78,5.78,Seal issue detected
BATCH_13768,Whole Wheat,internal_temp_c,1,90.94,90.94,90.94,Above tolerance range
BATCH_13769,Family Loaf,texture_score,1,0.01,0.01,0.01,Seal issue detected
BATCH_13770,Soft White,internal_temp_c,1,100.25,100.25,100.25,Internal temperature deviation
BATCH_13770,Soft White,weight_grams,1,720.32,720.32,720.32,Internal temperature deviation
BATCH_13771,Family Loaf,internal_temp_c,1,99.17,99.17,99.17,Below expected tolerance
BATCH_13772,Family Loaf,crust_color_level,1,-1.49,-1.49,-1.49,Above tolerance range
BATCH_13773,High Energy Brown,crust_color_level,1,-0.69,-0.69,-0.69,Above tolerance range
BATCH_13773,High Energy Brown,moisture_percent,1,30.9,30.9,30.9,Above tolerance range
BATCH_13774,High Energy Brown,crust_color_level,1,-0.07,-0.07,-0.07,Below expected tolerance
BATCH_13775,Wholegrain Brown,slice_uniformity_mm,1,1.41,1.41,1.41,Seal issue detected
BATCH_13776,Wholegrain Brown,slice_uniformity_mm,1,1.68,1.68,1.68,Below expected tolerance
BATCH_13777,Family Loaf,slice_uniformity_mm,1,6.07,6.07,6.07,Seal issue detected
BATCH_13778,Whole Wheat,slice_uniformity_mm,1,8.23,8.23,8.23,Below expected tolerance
BATCH_13779,High Energy White,package_seal_strength,1,77.57,77.57,77.57,Internal temperature deviation
BATCH_13780,Soft White,crust_color_level,1,-0.66,-0.66,-0.66,Seal issue detected
BATCH_13780,Soft White,slice_uniformity_mm,1,1.57,1.57,1.57,Seal issue detected
BATCH_13780,Soft White,weight_grams,1,679.49,679.49,679.49,Color inconsistency
BATCH_13781,Whole Wheat,slice_uniformity_mm,1,6.89,6.89,6.89,Below expected tolerance
BATCH_13782,High Energy White,crust_color_level,1,0.12,0.12,0.12,Seal issue detected
BATCH_13783,Soft White,crust_color_level,1,5.73,5.73,5.73,Below expected tolerance
BATCH_13784,High Energy Brown,internal_temp_c,1,91.92,91.92,91.92,Internal temperature deviation
BATCH_13787,High Energy White,internal_temp_c,1,91.73,91.73,91.73,Above tolerance range
BATCH_13788,Wholegrain Brown,internal_temp_c,1,92.67,92.67,92.67,Internal temperature deviation
BATCH_13788,Wholegrain Brown,weight_grams,1,677.81,677.81,677.81,Internal temperature deviation
BATCH_13789,Whole Wheat,moisture_percent,1,30.08,30.08,30.08,Seal issue detected
BATCH_13790,Wholegrain Brown,internal_temp_c,1,91.05,91.05,91.05,Internal temperature deviation
BATCH_13792,Soft White,slice_uniformity_mm,1,-0.18,-0.18,-0.18,Below expected tolerance
BATCH_13793,Seed Loaf,moisture_percent,1,30.14,30.14,30.14,Above tolerance range
BATCH_13795,High Energy Brown,crust_color_level,1,-1.13,-1.13,-1.13,Color inconsistency
BATCH_13795,High Energy Brown,slice_uniformity_mm,1,6.88,6.88,6.88,Internal temperature deviation
BATCH_13796,High Energy White,moisture_percent,1,30.41,30.41,30.41,Below expected tolerance
BATCH_13796,High Energy White,slice_uniformity_mm,1,0.21,0.21,0.21,Color inconsistency
BATCH_13797,Wholegrain Brown,crust_color_level,1,-1.3,-1.3,-1.3,Color inconsistency
BATCH_13797,Wholegrain Brown,moisture_percent,1,39.38,39.38,39.38,Seal issue detected
BATCH_13798,Soft White,internal_temp_c,1,101.44,101.44,101.44,Internal temperature deviation
BATCH_13799,Family Loaf,crust_color_level,1,0.44,0.44,0.44,Seal issue detected
BATCH_13800,High Energy White,slice_uniformity_mm,1,-0.09,-0.09,-0.09,Seal issue detected
BATCH_13803,High Energy Brown,weight_grams,1,678.31,678.31,678.31,Color inconsistency
BATCH_13805,Wholegrain Brown,crust_color_level,1,-0.13,-0.13,-0.13,Seal issue detected
BATCH_13805,Wholegrain Brown,texture_score,1,-1.32,-1.32,-1.32,Color inconsistency
BATCH_13806,High Energy Brown,crust_color_level,1,-1.21,-1.21,-1.21,Internal temperature deviation
BATCH_13807,Soft White,internal_temp_c,1,91.41,91.41,91.41,Internal temperature deviation
BATCH_13808,Family Loaf,crust_color_level,1,-1.23,-1.23,-1.23,Internal temperature deviation
BATCH_13808,Family Loaf,texture_score,1,0.83,0.83,0.83,Color inconsistency
BATCH_13809,Seed Loaf,package_seal_strength,1,78.55,78.55,78.55,Color inconsistency
BATCH_13810,High Energy Brown,crust_color_level,1,6.79,6.79,6.79,Above tolerance range
BATCH_13812,Family Loaf,package_seal_strength,1,121.8,121.8,121.8,Seal issue detected
BATCH_13813,Seed Loaf,slice_uniformity_mm,1,7.46,7.46,7.46,Color inconsistency
BATCH_13814,Seed Loaf,crust_color_level,1,5.31,5.31,5.31,Color inconsistency
BATCH_13815,Family Loaf,crust_color_level,1,-0.09,-0.09,-0.09,Above tolerance range
BATCH_13815,Family Loaf,texture_score,1,10.12,10.12,10.12,Seal issue detected
BATCH_13817,Wholegrain Brown,crust_color_level,1,0.2,0.2,0.2,Below expected tolerance
BATCH_13818,Soft White,crust_color_level,1,7.01,7.01,7.01,Color inconsistency
BATCH_13819,Seed Loaf,moisture_percent,1,40.87,40.87,40.87,Below expected tolerance
BATCH_13820,Family Loaf,texture_score,1,10.59,10.59,10.59,Above tolerance range
BATCH_13821,Family Loaf,slice_uniformity_mm,1,7.79,7.79,7.79,Color inconsistency
BATCH_13823,Wholegrain Brown,internal_temp_c,1,100.09,100.09,100.09,Above tolerance range
BATCH_13824,High Energy Brown,moisture_percent,1,28.59,28.59,28.59,Below expected tolerance
BATCH_13825,Family Loaf,internal_temp_c,1,100.22,100.22,100.22,Internal temperature deviation
BATCH_13825,Family Loaf,texture_score,1,12.44,12.44,12.44,Seal issue detected
BATCH_13828,Whole Wheat,moisture_percent,1,29.85,29.85,29.85,
